Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BT1,Battery_Cell,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,134.1,-108.0,180.0,bottom
C1,100n,C_0402_1005Metric,156.5,-82.5,90.0,top
C2,100p,C_0402_1005Metric,149.62,-73.7,0.0,top
C3,N.C.,C_0402_1005Metric,148.6,-72.7,0.0,top
C4,4u7,C_0603_1608Metric,162.2,-73.3,180.0,top
C5,100n,C_0402_1005Metric,157.0,-71.1,90.0,top
C6,100n,C_0402_1005Metric,149.5,-76.2,180.0,top
C7,4u7,C_0603_1608Metric,161.4,-77.2,0.0,top
C8,100n,C_0402_1005Metric,170.8,-117.88,90.0,top
C9,4u7,C_0603_1608Metric,161.4,-75.2,0.0,top
C10,1u,C_0603_1608Metric,152.1,-86.1125,90.0,top
C11,47n,C_0402_1005Metric,150.7,-87.7125,90.0,top
C12,1p,C_0201_0603Metric,149.9,-70.3,90.0,top
C13,1p2,C_0201_0603Metric,147.1,-70.3,90.0,top
C14,12p,C_0402_1005Metric,141.0,-76.2,-90.0,top
C15,12p,C_0402_1005Metric,147.6,-76.2,90.0,top
C16,12p,C_0402_1005Metric,162.4,-84.7,180.0,top
C17,12p,C_0402_1005Metric,157.1,-84.7,0.0,top
C18,100n,C_0402_1005Metric,141.6,-105.3,0.0,top
C19,1u,C_0603_1608Metric,152.4,-94.2,90.0,top
C20,1u,C_0603_1608Metric,155.0,-82.5,-90.0,top
C21,1u,C_0402_1005Metric,134.68,-97.9,90.0,top
C22,100n,C_0402_1005Metric,140.28,-99.6,0.0,top
C23,100n,C_0402_1005Metric,140.28,-96.3,0.0,top
C24,10u,C_0603_1608Metric,166.425,-98.3,0.0,top
C25,100n,C_0603_1608Metric,160.4,-101.8,90.0,top
C26,10u,C_0603_1608Metric,159.1,-106.4,90.0,top
C27,10u,C_0603_1608Metric,160.8,-106.4,90.0,top
C28,330u,CP_Elec_10x10,167.3675,-110.4,0.0,top
C29,1u,C_0402_1005Metric,171.6,-71.8,180.0,top
C30,100n,C_0402_1005Metric,171.6,-67.4,180.0,top
C33,100n,C_0402_1005Metric,169.7,-92.7,135.0,top
D1,LED_Small,LED_0805_2012Metric,178.0,-109.5,0.0,top
