Comment,Designator,Footprint,LCSC
TYPE-C 16PIN 2MD(073),USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,C2765186
HY32768KSMD3068YA2R30,X1,CRYSTAL-SMD_L7.0-W3.2-LS7.5,C5265854
32M,Y1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,C9009
MK-12C02-G020,SW1,SW-SMD_MK-12C02-G020,C963206
100n,C1,C_0402_1005Metric,
TestPoint_Small,TP1,TestPoint_Pad_D1.0mm,
100n,C8,C_0402_1005Metric,
1p2,C13,C_0201_0603Metric,
SRV05-4,U7,SOT-23-6,
12p,C16,C_0402_1005Metric,
10u,C27,C_0603_1608Metric,
TestPoint_Small,TP12,TestPoint_Pad_D1.0mm,
TestPoint_Small,TP9,TestPoint_Pad_D1.0mm,
12p,C14,C_0402_1005Metric,
TestPoint_Small,TP4,TestPoint_Pad_D1.0mm,
100n,C5,C_0402_1005Metric,
TestPoint_Small,TP2,TestPoint_Pad_D1.0mm,
BQ24090DGQ,U3,HVSSOP-10-1EP_3x3mm_P0.5mm_EP1.57x1.88mm_ThermalVias,
LED_Small,D4,LED_0805_2012Metric,
LED_Small,D1,LED_0805_2012Metric,
TestPoint_Small,TP6,TestPoint_Pad_D1.0mm,
TLC59283RGER,U5,RGE24_2P1X2P1_TEX,
12p,C15,C_0402_1005Metric,
30k,R6,R_0402_1005Metric,
LED_Small,D10,LED_0805_2012Metric,
10u,L2,L_0603_1608Metric,
2k2,R9,R_0402_1005Metric,
LED_Small,D6,LED_0805_2012Metric,
EXT 3.3V,J8,PinHeader_1x02_P2.54mm_Vertical,
1p,C12,C_0201_0603Metric,
10u,C26,C_0603_1608Metric,
5k1,R11,R_0402_1005Metric,
2k2,R1,R_0402_1005Metric,
330,R2,R_0402_1005Metric,
VDDH,J7,PinHeader_1x02_P2.54mm_Vertical,
NR3015T2R2M,L5,L_Taiyo-Yuden_NR-30xx,
1u,C29,C_0402_1005Metric,
TDT,J6,PinHeader_1x02_P2.54mm_Vertical,
Conn_01x06_Pin,J3,PinHeader_1x06_P2.54mm_Vertical,
LED_Small,D11,LED_0805_2012Metric,
TestPoint_Small,TP3,TestPoint_Pad_D1.0mm,
LED_Small,D15,LED_0805_2012Metric,
NMOS,Q2,SOT-23,
1u,C19,C_0603_1608Metric,
LED_Small,D2,LED_0805_2012Metric,
NCP333FCT2G,IC2,BGA4C40P2X2_76X76X63,
10u,C24,C_0603_1608Metric,
330u,C28,CP_Elec_10x10,
12p,C17,C_0402_1005Metric,
5k3,R13,R_0402_1005Metric,
nRF52820-QDxx,U1,QFN-40-1EP_5x5mm_P0.4mm_EP3.6x3.6mm,
LED_Small,D12,LED_0805_2012Metric,
LED,J2,PinHeader_1x02_P2.54mm_Vertical,
47n,C11,C_0402_1005Metric,
LED_Small,D7,LED_0805_2012Metric,
LED_Small,D14,LED_0805_2012Metric,
110k,R7,R_0402_1005Metric,
LTR-303ALS-01,U4,Lite-On_LTR-303ALS-01,
1k,R5,R_0402_1005Metric,
LED_Small,D9,LED_0805_2012Metric,
10k,R15,R_0402_1005Metric,
10k,R14,R_0402_1005Metric,
100n,C22,C_0402_1005Metric,
100n,C23,C_0402_1005Metric,
2n2,L4,L_0201_0603Metric,
LED_Small,D8,LED_0805_2012Metric,
Antenna_Shield,AE1,Texas_SWRA117D_2.4GHz_Left,
5k1,R12,R_0402_1005Metric,
BQ297xy,U2,WSON-6_1.5x1.5mm_P0.5mm,
1u,C20,C_0603_1608Metric,
TestPoint_Small,TP13,TestPoint_Pad_D1.0mm,
15n,L1,L_0603_1608Metric,
4u7,C7,C_0603_1608Metric,
10k,R4,R_0402_1005Metric,
TPS63001,U6,Texas_DRC0010J_ThermalVias,
TestPoint_Small,TP8,TestPoint_Pad_D1.0mm,
100p,C2,C_0402_1005Metric,
LED_Small,D5,LED_0805_2012Metric,
1u,C21,C_0402_1005Metric,
100n,C6,C_0402_1005Metric,
1k,R3,R_0402_1005Metric,
100n,C18,C_0402_1005Metric,
LED_Small,D13,LED_0805_2012Metric,
100n,C33,C_0402_1005Metric,
4u7,C9,C_0603_1608Metric,
NCP333FCT2G,IC1,BGA4C40P2X2_76X76X63,
100n,C30,C_0402_1005Metric,
100n,C25,C_0603_1608Metric,
4u7,C4,C_0603_1608Metric,
TestPoint_Small,TP11,TestPoint_Pad_D1.0mm,
LED_Small,D3,LED_0805_2012Metric,
2k2,R8,R_0402_1005Metric,
SW_Push_Dual,SW2,SW_Push_1P1T_XKB_TS-1187A,
100,R10,R_0402_1005Metric,
4n7,L3,L_0201_0603Metric,
TestPoint_Small,TP5,TestPoint_Pad_D1.0mm,
1u,C10,C_0603_1608Metric,
NMOS,Q1,SOT-23,
TestPoint_Small,TP10,TestPoint_Pad_D1.0mm,
Battery_Cell,BT1,JST_PH_S2B-PH-K_1x02_P2.00mm_Horizontal,
